#JCAT	Piece	Name	LDate	TLast	TOp	TDate	TF	Program	Plane	Att	Mvr	Class	Category	UNState	UNReg	UNPeriod	UNPerigee	UNApogee	UNInc	Result	Control	Discipline	Comment
# Updated 2023 Jun 05 04:17:39
S07216	1974-014A	Cosmos 635	1974 Mar 14 	1974 Mar 26	1974 Mar 26	1974 Mar 26 0530?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.290	-	     212	     350	 72.9 	U	-	-	-
S07218	1974-015A	-	1974 Mar 16 	1976 May 27	1976 May 27	1976 May 27	-	DMSP 5B	-	-	-	D	MET	US	A/AC.105/INF.293	  101.4 	     781	     878	 98.9 	U	-	-	-
S07222	1974-014E	Kapsula Kosmosa-635	1974 Mar 14 	1974 Mar 18	1974 Mar 18	1974 Mar 18	-	Nauka 17KS	-	-	-	D	TECH	-	-	-	-	-	-	U	-	-	Yantar' SUD test
S07223	1973-052D	SA Marsa-6	1973 Aug  5 	1974 Mar 12	1974 Mar 12	1974 Mar 12	-	3M SA	-	-	M	C	PLAN/RV	-	-	-	-	-	-	U	-	PL	Mars lander capsule
S07224	1973-053D	SA Marsa-7	1973 Aug  9 	1974 Mar 10?	1974 Mar 10?	1974 Mar 10?	-	3M SA	-	-	M	C	PLAN/RV	-	-	-	-	-	-	U	-	PL	Mars lander capsule
S07225	1974-016A	Cosmos 636	1974 Mar 20 	1974 Apr  3	1974 Apr  3	1974 Apr  3 0548?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.290	-	     174	     409	 65.0 	U	-	-	-
S07229	1974-017A	Cosmos 637	1974 Mar 26 	1974 Mar 27	1974 Mar 27	1974 Mar 27	-	Raduga	-	-	D	C	TECH	SU	A/AC.105/INF.290	-	   35600	   35600	  0.3 	U	-	-	-
S07234	1974-018A	Cosmos 638	1974 Apr  3 	1974 Apr 13	1974 Apr 13	1974 Apr 13 0505	-	7K-TM	-	-	M	C	SS	SU	A/AC.105/INF.290	-	     195	     325	 51.8 	U	-	-	-
S07240	1974-019A	Cosmos 639	1974 Apr  4 	1974 Apr 15	1974 Apr 15	1974 Apr 15 0511?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.290	-	     209	     238	 81.3 	U	-	-	-
S07242	1974-020A	-	1974 Apr 10 	1974 Jul 28	1974 Jul 28	1974 Jul 28	-	Hex II	-	-	M	D	IMG	US	A/AC.105/INF.295	   88.0 	     152	     288	 94.0 	U	-	-	-
S07245	1974-021A	Cosmos 640	1974 Apr 11 	1974 Apr 23	1974 Apr 23	1974 Apr 23 0823?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.290	-	     205	     236	 81.3 	U	-	-	-
S07247	1974-020C	-	1974 Apr 10 	1975?	1980?	1980?	-	EHH B	-	-	-	D	SIG	US	A/AC.105/INF.295	   94.0 	     502	     528	 94.0 	U	-	-	-
S07250	1974-022A	[Westar 1]	1974 Apr 13 	1983 Jun 15	1983 Jun 15	1983 Jun 15	-	Westar A	-	-	M	B	COM	US	A/AC.105/INF.295	 1434.3 	   35553	   35950	  0.0 	S	Glenwood,NJ	-	-
S07260	1974-023A	Molniya 1	1974 Apr 20 	1976 Oct?	1976 Oct?	1976 Oct?	-	Molniya-1	-	-	M	D	COM	SU	A/AC.105/INF.294	-	     646	   40713	 62.9 	U	-	-	-
S07265	1974-024A	Cosmos 641	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07266	1974-024B	Cosmos 642	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07267	1974-024C	Cosmos 643	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07268	1974-024D	Cosmos 644	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07269	1974-024E	Cosmos 645	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07270	1974-024F	Cosmos 646	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07271	1974-024G	Cosmos 647	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07272	1974-024H	Cosmos 648	1974 Apr 23 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.294	-	    1385	    1508	 74.0 	U	-	-	-
S07274	1974-025A	Meteor	1974 Apr 24 	1974 Oct 28	1974 Oct 28	1974 Oct 28	-	Meteor C	-	-	-	D	MET	SU	A/AC.105/INF.294	-	     877	     907	 81.2 	U	-	-	-
S07276	1974-026A	Molniya-2	1974 Apr 26 	1975 May 14	1975 May 14	1975 May 14	-	Molniya-2	-	-	M	D	COM	SU	A/AC.105/INF.294	-	     463	   40850	 62.9 	U	-	-	-
S07280	1974-027A	Cosmos 649	1974 Apr 29 	1974 May 11	1974 May 11	1974 May 11 0506?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.294	-	     189	     320	 62.8 	U	-	-	-
S07281	1974-028A	Cosmos 650	1974 Apr 29 	1975?	1975?	1975?	-	Sfera	-	-	-	D	GEOD	SU	A/AC.105/INF.294	-	    1380	    1413	 74.0 	U	-	GEOD	Operational geodesy
S07291	1974-029A	Cosmos 651	1974 May 15 	1974 Jul 25	1974 Jul 25	1974 Jul 25	-	US-A	-	-	M	D	SIG	SU	A/AC.105/INF.294	-	     256	     276	 65.0 	U	-	-	-
S07292	1974-030A	Cosmos 652	1974 May 15 	1974 May 23	1974 May 23	1974 May 23 0604?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.294	-	     180	     362	 51.8 	U	-	-	-
S07293	1974-031A	Cosmos 653	1974 May 15 	1974 May 27	1974 May 27	1974 May 27 0404?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.294	-	     196	     309	 62.8 	U	-	-	-
S07297	1974-032A	Cosmos 654	1974 May 17 	1974 Jul 30	1974 Jul 30	1974 Jul 30	-	US-A	-	-	M	D	SIG	SU	A/AC.105/INF.294	-	     261	     277	 65.0 	U	-	-	-
S07298	1974-033A	[SMS 1]	1974 May 17 	1981 Jan 29	1981 Jan 29	1981 Jan 29	-	GOES	-	-	-	C	MET	US	A/AC.105/INF.297	 1420.8 	   35455	   35519	  2.0 	U	-	-	-
S07299	1974-034A	Intercosmos 11	1974 May 17 	1975 Feb 17	1975 Feb 17	1975 Feb 17	-	DS-U3-IK	-	-	-	C	AST	SU	A/AC.105/INF.296	-	     484	     526	 50.7 	U	-	SOL*	Solar UV and polarization
S07306	1974-035A	Cosmos 655	1974 May 21 	1975?	1975?	1975?	-	Tselina-OM	-	-	-	D	SIG	SU	A/AC.105/INF.296	-	     520	     549	 74.0 	U	-	-	-
S07313	1974-036A	Cosmos 656	1974 May 27 	1974 May 29	1974 May 29	1974 May 29 0927	-	7K-TA	-	-	M	C	SS	SU	A/AC.105/INF.296	-	     194	     354	 51.6 	U	-	-	-
S07315	1974-037A	Luna 22	1974 May 29 	1975 Nov	1975 Nov	1975 Nov	-	E-8	-	-	M	C	PLAN	SU	A/AC.105/INF.296	-	-	-	-	U	-	PL	Lunar orbiter
S07317	1974-038A	Cosmos 657	1974 May 30 	1974 Jun 13	1974 Jun 13	1974 Jun 13 0408?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.296	-	     182	     317	 62.3 	U	-	-	-
S07318	1974-039A	[ATS 6]	1974 May 30 	1979 Aug  2	1979 Aug  2	1979 Aug  2	-	ATS	-	-	M	C	COM	US	A/AC.105/INF.297	 1436.3 	   35763	   35818	  1.8 	U	-	-	-
S07325	1974-040A	[Hawkeye]	1974 Jun  3 	1978 Apr 28	1978 Apr 28	1978 Apr 28	-	Injun	-	-	-	C	SCI	US	A/AC.105/INF.299	 3078.1 	     638	  126793	 89.8 	U	-	P/F*	Neutral field points
S07328	1974-041A	Cosmos 658	1974 Jun  6 	1974 Jun 18	1974 Jun 18	1974 Jun 18 0427?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.296	-	     206	     304	 65.0 	U	-	-	-
S07330	1974-042A	-	1974 Jun  6 	1974 Jul 23	1974 Jul 23	1974 Jul 23	-	KH8D	-	-	M	D	IMG	US	A/AC.105/INF.299	   89.8 	     120	     410	110.4 	U	-	-	-
S07334	1974-043A	Cosmos 659	1974 Jun 13 	1974 Jun 26	1974 Jun 26	1974 Jun 26 0418?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.296	-	     190	     360	 62.8 	U	-	-	-
S07337	1974-044A	Cosmos 660	1974 Jun 18 	1975?	1975?	1975?	-	Vektor4	-	-	-	D	CAL	SU	A/AC.105/INF.296	-	     409	    1995	 83.0 	U	-	-	-
S07339	1974-045A	Cosmos 661	1974 Jun 21 	1975?	1975?	1975?	-	Tselina-OM	-	-	-	D	SIG	SU	A/AC.105/INF.296	-	     513	     555	 74.0 	U	-	-	-
S07342	1974-046A	Salyut-3 station	1974 Jun 24 	1975 Jan 24	1975 Jan 24	1975 Jan 24	-	Almaz	-	-	M	D	SS	SU	A/AC.105/INF.298	-	     219	     270	 51.6 	U	-	BIO	Space station
S07347	1974-047A	Cosmos-662	1974 Jun 26 	1975 Mar 17	1975 Mar 17	1975 Mar 17	-	DS-P1-I	-	-	-	D	CAL	SU	A/AC.105/INF.298	-	     282	     838	 71.0 	U	-	-	-
S07349	1974-048A	Cosmos-663	1974 Jun 27 	1975?	1975?	1975?	-	Zaliv	C	-	-	D	NAV	SU	A/AC.105/INF.298	-	     983	    1017	 83.0 	U	-	-	-
S07351	1974-049A	Cosmos-664	1974 Jun 29 	1974 Jul 11	1974 Jul 11	1974 Jul 11 0818?	-	Orion	-	-	D	D	IMG	SU	A/AC.105/INF.298	-	     212	     364	 72.9 	U	-	-	-
S07352	1974-050A	Cosmos-665	1974 Jun 29 	1975 Sep 24	1975 Sep 24	1975 Sep 24	-	Oko A	-	-	M	D	EW	SU	A/AC.105/INF.298	-	     633	   39384	 62.9 	U	-	-	-
S07361	1974-051A	Soyuz-14	1974 Jul  3 	1974 Jul 19	1974 Jul 19	1974 Jul 19 1221	-	7K-TA	-	-	M	D	SS	SU	A/AC.105/INF.298	-	     255	     277	 51.6 	U	-	-	-
S07363	1974-052A	Meteor	1974 Jul  9 	1976 Oct 28	1976 Oct 28	1976 Oct 28	-	Meteor-Priroda	-	-	-	C	MET	SU	A/AC.105/INF.298	-	     877	     905	 81.2 	U	-	-	-
S07366	1974-049H	KBE	1974 Jun 29 	1974 Jul 11	1974 Jul 11	1974 Jul 11 0746?	-	Cap B	-	-	-	D	TECH	[SU]	-	-	-	-	-	U	-	-	-
S07367	1974-053A	Cosmos-666	1974 Jul 12 	1974 Jul 25	1974 Jul 25	1974 Jul 25 0323?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.298	-	     191	     351	 62.8 	U	-	-	-
S07369	1974-054A	-	1974 Jul 14 	1976?	1977?	1977?	-	NTS	-	-	M	D	NAV	US	A/AC.105/INF.300	  468.4 	   13440	   13762	125.1 	U	-	-	-
S07371	1974-055A	[Aeros 2]	1974 Jul 16 	1975 Sep 25	1975 Sep 25	1975 Sep 25	-	GRS	-	-	-	C	SCI	US*	A/AC.105/INF.300	   95.3 	     220	     853	 97.4 	U	-	P/ATM*	Atmospheric studies
S07376	1974-056A	Molniya-2	1974 Jul 23 	1976 Aug 27	1976 Aug 27	1976 Aug 27	-	Molniya-2	-	-	M	D	COM	SU	A/AC.105/INF.298	-	     460	   40900	 62.8 	U	-	-	-
S07383	1974-057A	Cosmos-667	1974 Jul 25 	1974 Aug  7	1974 Aug  7	1974 Aug  7 0314?	-	Zenit-4M	-	-	M	D	IMG	SU	A/AC.105/INF.298	-	     182	     342	 65.0 	U	-	-	-
S07385	1974-058A	Cosmos-668	1974 Jul 25 	1975 Feb 17	1975 Feb 17	1975 Feb 17	-	DS-P1-Yu A	-	-	-	D	CAL	SU	A/AC.105/INF.298	-	     281	     519	 71.0 	U	-	-	-
S07389	1974-059A	Cosmos-669	1974 Jul 26 	1974 Aug  8	1974 Aug  8	1974 Aug  8 0309?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.298	-	     210	     244	 81.3 	U	-	-	-
S07392	1974-060A	Molniya-1S	1974 Jul 29 	1974 Aug?	1975?	1975?	-	Molniya-1M	-	-	M	D	COM	SU	A/AC.105/INF.298	-	   35850	   35850	  0.1 	U	-	-	-
S07404	1974-059G	Kapsula Kosmosa-669	1974 Jul 26 	1974 Aug  3?	1974 Aug  3?	1974 Aug  3?	-	Nauka 8KS	-	-	-	D	SCI	[SU]	-	-	-	-	-	U	-	ATM	Submm radiometer
S07405	1974-061A	Cosmos-670	1974 Aug  6 	1974 Aug  9	1974 Aug  9	1974 Aug  9 0130	-	7K-S	-	-	M	C	SS	SU	A/AC.105/INF.301	-	     217	     307	 50.6 	U	-	-	-
S07409	1974-062A	Cosmos-671	1974 Aug  7 	1974 Aug 20	1974 Aug 20	1974 Aug 20 0324?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.301	-	     191	     369	 62.8 	U	-	-	-
S07411	1974-063A	-	1974 Aug  9 	1974 Nov 22	1974 Nov 22	1974 Nov 22	-	DMSP 5C	-	-	-	D	MET	US	A/AC.105/INF.303	  101.6 	     805	     875	 98.8 	U	-	-	-
S07413	1974-064A	Cosmos-672	1974 Aug 12 	1974 Aug 18	1974 Aug 18	1974 Aug 18 0505	-	7K-TM	-	-	M	C	SS	SU	A/AC.105/INF.301	-	     198	     239	 51.8 	U	-	-	-
S07416	1974-065A	-	1974 Aug 14 	1974 Sep 29	1974 Sep 29	1974 Sep 29	-	KH8D	-	-	M	D	IMG	US	A/AC.105/INF.303	   89.8 	     123	     407	110.5 	U	-	-	-
S07417	1974-066A	Cosmos-673	1974 Aug 16 	1975?	1975?	1975?	-	Tselina-D	-	-	-	D	SIG	SU	A/AC.105/INF.301	-	     620	     648	 81.0 	U	-	-	-
S07421	1974-067A	Soyuz-15	1974 Aug 26 	1974 Aug 28	1974 Aug 28	1974 Aug 28 2010	-	7K-TA	-	-	M	D	SS	SU	A/AC.105/INF.301	-	     254	     275	 51.6 	U	-	-	-
S07423	1974-068A	Cosmos-674	1974 Aug 29 	1974 Sep  7	1974 Sep  7	1974 Sep  7 0634?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.301	-	     182	     343	 65.0 	U	-	-	-
S07424	1974-069A	Cosmos-675	1974 Aug 29 	1975?	1975?	1975?	-	Sfera	-	-	-	D	GEOD	SU	A/AC.105/INF.301	-	    1370	    1429	 74.0 	U	-	GEOD	Operational geodesy
S07427	1974-070A	[ANS 1]	1974 Aug 30 	1977 Jun 14	1977 Jun 14	1977 Jun 14	-	ANS	-	-	-	C	AST	[NL]	-	-	-	-	-	U	-	UVA/XRA*	Dutch astronomical observatory
S07433	1974-071A	Cosmos-676	1974 Sep 11 	1975?	1975?	1975?	-	Strela-2M	-	-	-	D	COM	SU	A/AC.105/INF.301	-	     799	     840	 74.0 	U	-	-	-
S07435	1974-072A	Cosmos-677	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07436	1974-072B	Cosmos-678	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07437	1974-072C	Cosmos-679	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07438	1974-072D	Cosmos-680	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07439	1974-072E	Cosmos-681	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07440	1974-072F	Cosmos-682	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07441	1974-072G	Cosmos-683	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07442	1974-072H	Cosmos-684	1974 Sep 19 	1975?	1975?	1975?	-	Strela-1M	A	-	-	D	COM	SU	A/AC.105/INF.301	-	    1451	    1519	 74.0 	U	-	-	-
S07445	1974-073A	Cosmos-685	1974 Sep 20 	1974 Oct  2	1974 Oct  2	1974 Oct  2 0736?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.301	-	     208	     303	 65.0 	U	-	-	-
S07447	1974-074A	Cosmos-686	1974 Sep 26 	1975 May  1	1975 May  1	1975 May  1	-	DS-P1-Yu A	-	-	-	D	CAL	SU	A/AC.105/INF.301	-	     281	     515	 71.0 	U	-	-	-
S07466	1974-075A	[Westar 2]	1974 Oct 10 	1986 May  7	1986 May  7	1986 May  7	-	Westar A	-	-	M	B	COM	US	A/AC.105/INF.310	  641.9 	     231	   36309	 24.7 	S	Glenwood,NJ	-	-
S07469	1974-076A	Cosmos 687	1974 Oct 11 	1975?	1975?	1975?	-	Vektor3	-	-	-	D	CAL	SU	A/AC.105/INF.304	-	     292	     717	 74.0 	U	-	-	-
S07471	1974-077A	Ariel V	1974 Oct 15 	1980 Mar 14	1980 Mar 14	1980 Mar 14	-	UK	-	-	-	C	AST	UK	A/AC.105/INF.302	   95.4 	     504	     549	  2.9 	U	-	XRA*	British X-ray sky survey
S07473	1974-078A	Cosmos 688	1974 Oct 18 	1974 Oct 30	1974 Oct 30	1974 Oct 30 0705?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.304	-	     188	     371	 62.8 	U	-	-	-
S07476	1974-079A	Cosmos 689	1974 Oct 18 	1975?	1975?	1975?	-	Zaliv	B	-	-	D	NAV	SU	A/AC.105/INF.304	-	     992	    1032	 83.0 	U	-	-	-
S07478	1974-080A	Cosmos 690	1974 Oct 22 	1974 Nov 12	1974 Nov 12	1974 Nov 12 0550?	-	Bion	-	-	D	C	BIO	SU	A/AC.105/INF.304	-	     223	     389	 62.8 	U	-	BIO	Rats, tortoises
S07480	1974-081A	Molniya 1	1974 Oct 24 	1977?	1977?	1977?	-	Molniya-1	-	-	M	D	COM	SU	A/AC.105/INF.304	-	     683	   40617	 62.8 	U	-	-	-
S07483	1974-082A	Cosmos 691	1974 Oct 25 	1974 Nov  6	1974 Nov  6	1974 Nov  6 0623?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.304	-	     180	     352	 65.0 	U	-	-	-
S07490	1974-083A	Meteor	1974 Oct 28 	1975 Apr  4	1975 Apr  4	1975 Apr  4	-	Meteor C	-	-	-	D	MET	SU	A/AC.105/INF.304	-	     855	     917	 81.2 	U	-	-	-
S07491	1974-084A	Luna 23	1974 Oct 28 	1974 Nov  9	1974 Nov  9	1974 Nov  9	-	E-8-5	-	-	M	C	PLAN	SU	A/AC.105/INF.304	-	-	-	-	U	-	PL	Lunar lander
S07495	1974-085A	-	1974 Oct 29 	1975 Mar 19	1975 Mar 19	1975 Mar 19	-	Hex II	-	-	M	D	IMG	US	A/AC.105/INF.310	   96.7 	     115	     272	 96.7 	U	-	-	-
S07498	1974-085B	-	1974 Oct 29 	1978	1980?	1980?	-	EHH B	-	-	-	D	SIG	US	A/AC.105/INF.310	   96.1 	     540	     542	 96.1 	U	-	-	-
S07499	1974-085C	-	1974 Oct 29 	1975 May 26	1975 May 26	1975 May 26	-	STP1	-	-	-	C	SCI	US	A/AC.105/INF.310	   97.0 	     147	    3711	 97.0 	U	-	ATM/P/F*	Atmosphere/ionosphere
S07500	1974-086A	Intercosmos 12	1974 Oct 31 	1975 Feb 20	1975 Feb 20	1975 Feb 20	-	DS-U2-IK	-	-	-	C	SCI	SU	A/AC.105/INF.304	-	     264	     708	 74.1 	U	-	ION/MM/P*	Ionosphere
S07502	1974-087A	Cosmos 692	1974 Nov  1 	1974 Nov 13	1974 Nov 13	1974 Nov 13 0622?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.304	-	     201	     315	 62.8 	U	-	-	-
S07509	1974-088A	Cosmos 693	1974 Nov  4 	1974 Nov 16	1974 Nov 16	1974 Nov 16 0743?	-	Orion	-	-	M	D	IMG	SU	A/AC.105/INF.304	-	     215	     271	 81.3 	U	-	-	-
S07523	1974-080E	KBE	1974 Oct 22 	1974 Nov 12	1974 Nov 12	1974 Nov 12 0519?	-	Cap C	-	-	-	C	TECH	[SU]	-	-	-	-	-	U	-	-	-
S07529	1974-089A	[NOAA 4]	1974 Nov 15 	1978 Nov 18	1978 Nov 18	1978 Nov 18	-	ITOS	-	-	-	C	MET	US	A/AC.105/INF.310	  114.9 	    1446	    1462	101.7 	U	-	-	-
S07530	1974-089B	[Oscar-7]	1974 Nov 15 	2023 Feb	1981?	*	-	AMSAT A	-	-	-	A	COM	US	A/AC.105/INF.310	  114.9 	    1446	    1461	101.7 	U	AMSAT-NA/DC	-	-
S07531	1974-089C	INTASAT	1974 Nov 15 	1976 Oct  6	1976 Oct  6	1976 Oct  6	-	INTA	-	-	-	C	SCI	E	ST/SG/SER.E/305	  114.7 	    1428	    1456	101.7 	U	-	ION*	Ionosphere beacon
S07533	1974-090A	Cosmos-694	1974 Nov 16 	1974 Nov 29	1974 Nov 29	1974 Nov 29 0704?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.307	-	     213	     344	 72.9 	U	-	-	-
S07534	1974-088E	KBE	1974 Nov  4 	1974 Nov 16	1974 Nov 16	1974 Nov 16 0711?	-	Cap B	-	-	-	D	TECH	[SU]	-	-	-	-	-	U	-	-	-
S07538	1974-091A	Cosmos-695	1974 Nov 20 	1975 May 10	1975 May 10	1975 May 10	-	DS-P1-Yu A	-	-	-	D	CAL	SU	A/AC.105/INF.307	-	     283	     493	 71.0 	U	-	-	-
S07540	1974-092A	Molniya-3	1974 Nov 21 	1977 Dec	1977 Dec	1977 Dec	-	Molniya-3	-	-	M	C	COM	SU	A/AC.105/INF.307	-	     650	   40690	 62.8 	U	-	-	-
S07544	1974-093A	[Intelsat 4 F-8]	1974 Nov 21 	1985 Aug 20?	1985 Aug 20?	1985 Aug 20?	-	Int4	-	-	M	C	COM	US	A/AC.105/INF.310	 1431.9 	   35630	   35780	  1.8 	U	-	-	-
S07547	1974-094A	Skynet 2B	1974 Nov 23 	1994	1994?	1994?	-	Skynet	-	-	M	D	COM	UK	ST/SG/SER.E/214	 1437.8 	   35760	   35815	  9.2 	U	RAF Oakhanger	-	-
S07551	1974-095A	Cosmos-696	1974 Nov 27 	1974 Dec  9	1974 Dec  9	1974 Dec  9 0638?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.307	-	     212	     345	 72.9 	U	-	-	-
S07561	1974-096A	Soyuz-16	1974 Dec  2 	1974 Dec  8	1974 Dec  8	1974 Dec  8 0804	-	7K-TM	-	-	M	C	SS	SU	A/AC.105/INF.307	-	     177	     223	 51.8 	U	-	-	-
S07567	1974-097A	Helios 1	1974 Dec 10 	1985	1981?	1985?	-	DLR Helios	-	-	-	C	PLAN	D	A/AC.105/INF.380	-	-	-	-	U	-	P/F/MM*	Solar probe
S07571	1974-098A	Cosmos-697	1974 Dec 13 	1974 Dec 25	1974 Dec 25	1974 Dec 25 0450?	-	Feniks	-	-	M	D	IMG	SU	A/AC.105/INF.307	-	     182	     415	 62.8 	U	-	-	-
S07574	1974-099A	Meteor	1974 Dec 17 	1975 Jul 10	1975 Jul 10	1975 Jul 10	-	Meteor C	-	-	-	D	MET	SU	A/AC.105/INF.307	-	     861	     910	 81.2 	U	-	-	-
S07576	1974-100A	Cosmos-698	1974 Dec 18 	1975?	1975?	1975?	-	Tselina-OM	-	-	-	D	SIG	SU	A/AC.105/INF.307	-	     515	     566	 74.0 	U	-	-	-
S07578	1974-101A	Symphonie	1974 Dec 19 	1983 Aug  4	1983 Aug  4	1983 Aug  4	-	Symphonie	-	-	M	C	COM	D	A/AC.105/INF.305	-	-	-	-	S	CNES/Toulouse and GS	-	-
S07583	1974-102A	Molniya-2	1974 Dec 21 	1978 Feb  7	1978 Feb  7	1978 Feb  7	-	Molniya-2	-	-	M	D	COM	SU	A/AC.105/INF.307	-	     641	   40675	 62.9 	U	-	-	-
S07587	1974-103A	Cosmos-699	1974 Dec 24 	1975 Mar 14	1975 Mar 14	1975 Apr 17	-	US-P	-	-	M	D	SIG	SU	A/AC.105/INF.307	-	     436	     454	 65.0 	U	-	-	-
S07591	1974-104A	Salyut-4 station	1974 Dec 26 	1977 Feb  2	1977 Feb  2	1977 Feb  2	-	DOS	-	-	M	C	SS	SU	A/AC.105/INF.307	-	     219	     270	 51.6 	U	-	ATM/XRA/SOL	XR tel, UV solar tel, IR atmos spectra
S07593	1974-105A	Cosmos-700	1974 Dec 26 	1977 Feb 20	1977 Feb 20	1977 Feb 20	-	Parus	PA	-	-	D	NAV	SU	A/AC.105/INF.307	-	     976	    1012	 83.0 	U	-	-	-
S07596	1974-106A	Cosmos-701	1974 Dec 27 	1975 Jan  9	1975 Jan  9	1975 Jan  9 0621?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.307	-	     210	     339	 71.4 	U	-	-	-
S07604	1975-001A	Soyuz-17	1975 Jan 10 	1975 Feb  9	1975 Feb  9	1975 Feb  9 1103	-	7K-T	-	-	M	C	SS	SU	A/AC.105/INF.311	-	     293	     354	 51.6 	U	-	BIO	Station ferry
S07606	1975-002A	Cosmos-702	1975 Jan 17 	1975 Jan 29	1975 Jan 29	1975 Jan 29 0643?	-	Zenit-2M	-	-	D	D	IMG	SU	A/AC.105/INF.311	-	     210	     334	 71.4 	U	-	-	-
S07611	1975-003A	Cosmos-703	1975 Jan 21 	1975 Aug 11	1975 Aug 11	1975 Aug 11	-	DS-P1-Yu B	-	-	-	D	CAL	SU	A/AC.105/INF.311	-	     207	    1545	 82.0 	U	-	-	-
S07615	1975-004A	[Landsat-2]	1975 Jan 22 	1983 Jul 27	1983 Jul 27	1983 Jul 27	-	Landsat	-	-	-	C	IMG	US	A/AC.105/INF.316	  103.2 	     907	     917	 99.0 	S	GSFC	-	-
S07617	1975-005A	Cosmos-704	1975 Jan 23 	1975 Feb  6	1975 Feb  6	1975 Feb  6 0457?	-	Zenit-4MK	-	-	M	D	IMG	SU	A/AC.105/INF.311	-	     213	     329	 72.9 	U	-	-	-
S07623	1975-006A	Cosmos-705	1975 Jan 28 	1975 Nov 18	1975 Nov 18	1975 Nov 18	-	DS-P1-Yu A	-	-	-	D	CAL	SU	A/AC.105/INF.311	-	     281	     524	 71.0 	U	-	-	-
